start	end	text
0	11000	Так, Тань, смотри, я сейчас пишу приложение для фитнес-тренеров. Не для клубных, а для индивидуалов.
11000	18000	Ну, там сильно своя специфика, скажем. Я думаю, кто как ни ты это понимаешь.
19000	30000	Значит, основные задачи приложения — это автоматизировать рутину, удержать клиентов,
30000	34000	ну, и в перспективе привлекения, ну, и добавить инструменты по привлечению.
34000	39000	На данный момент это автоматизация рутины и удержание.
40000	44000	Вот. В этой связи у меня есть ряд вопросов.
44000	53000	Вот, чтобы мне на основании вот именно конкретных тренеров и формировать это приложение.
53000	55000	Видите?
55000	57000	Да.
57000	62000	Хорошо. Ты фитнес-тренер, диетолог, натрицолог, совмещаешь...
63000	68000	Я, получается, сейчас инструктор-методист адаптивной афискультуры,
68000	72000	а здоровительный фитнес, да? То есть не классический фитнес.
72000	79000	Вот. И я только лишь даю рекомендацию по образу жизни и по питанию параллельно.
79000	85000	То есть я не являюсь нутрицологом, то есть я не назначаю никакие добавки, не интерпретирую анализы,
85000	88000	но я помогаю наладить режим питания.
88000	92000	Хорошо.
92000	100000	Ты клиентов ведешь вационом в Краснодаре, онлайн, в другом городе, в других городах?
100000	107000	Ну, у меня получается часть клиентов, это мы занимаемся в живую в Краснодаре.
107000	115000	Часть клиентов мы занимаемся онлайн, как в Краснодаре, так как в других городах.
115000	118000	Даже есть у меня перезгермания одна девушка.
118000	124000	И есть комбинированный формат, то есть когда человек частично ко мне приезжает в зал,
124000	126000	частично что-то мы сделаем онлайн.
126000	128000	А скажите...
128000	132000	И еще у меня есть курсы и видеокомплексы.
132000	136000	То есть это там, где уже в принципе мой личный контакт минимальный.
136000	142000	Ага, я понял. Такое обучение, как просто учиться.
143000	147000	Да, просваиваю программу самостоятельно.
147000	153000	И тренировки проводишь, и вот так вот, дистанционно ведешь там какие-то созвоны,
153000	155000	отчет и такое есть, да?
155000	158000	Да, у меня есть созвоны в телемосте.
158000	161000	Это может быть, например, консутация просто,
161000	165000	или консутация по как раз по питанию, по образу жизни.
165000	169000	Тогда же в телемосте у меня может проводиться прям тренировка.
169000	171000	Это если онлайн.
173000	177000	Хорошо. Сколько у тебя активных платьящих клиентов сейчас?
177000	179000	Ну, где пожелаем?
179000	183000	Ну вот я, когда заполняла анкету, мне живот Оксана Суша скидывала,
183000	185000	которая от вас анкета.
185000	188000	Я вот так пыталась посчитать, да?
188000	191000	Там вот злодея созвоны с 11 до 20.
191000	194000	А ты уже, получается, заполняла эту анкету?
194000	199000	Да, я ее заполняла, мне ее Оксана скидывала позавчера вечером.
200000	203000	Ну, как бы, да, просто я ее кратко заполняла,
203000	205000	соответственно, как там было по вопросам.
205000	209000	А скажи, это ты написал или не понимаешь, что такое стек?
209000	210000	Да.
210000	212000	А, все, тогда я понял.
212000	216000	Наверное, мне там, кстати, вообще не все вопросы были понятны, если честно.
216000	218000	Хорошо, я понял.
218000	225000	Так, тогда я наиболее интересующий меня вопросы сейчас уточню,
225000	228000	а так-то ты, получается, уже заполнял.
228000	231000	У нас с Оксаной получились наглотки.
231000	232000	Хорошо.
234000	238000	Так, сколько у тебя уходит на рукино?
238000	240000	То есть, не на занятия с клиентом,
240000	242000	непосредственно, неделю примерно?
242000	245000	Ну, вот видишь, надо просто еще учипивать,
245000	247000	что я не полной занятости.
247000	248000	Да?
248000	253000	То есть, я работаю, так скажем, процентов на 30, наверное,
253000	255000	вот полной занятость.
255000	256000	Вот.
256000	259000	Поэтому вот, если я что-то в часах, например, указываю,
259000	261000	то это надо тоже иметь в виду.
261000	263000	Да, это важный момент.
263000	264000	Да.
264000	266000	Там, потому что я в часах вот указала,
266000	270000	так я посчитала, что вроде-то это, наверное, часа три у меня.
270000	273000	Но если мы сейчас вообще про продвижение вообще не говорим,
273000	277000	то есть, рутина, это именно просто ответить на вопросы клиента,
277000	279000	дать ему заполнить анкету.
280000	284000	Какие-то проанализировать, позвонить, напомнить тренировку.
284000	287000	Ну, тогда, наверное, у меня даже час уходит в неделю,
287000	289000	вот если прямо на это.
289000	293000	Потому что у меня есть, получается, мини-группы,
293000	296000	а есть индивидуальные клиенты.
296000	300000	А вот с мини-группами, там вообще все уже налажено, как бы.
300000	302000	У меня там особо текучки нет.
302000	304000	И мини-группы — это сколько человек?
304000	308000	Это от двух до пяти, ну, бывает иногда там шесть.
308000	312000	Угу. Хорошо, я понял.
312000	315000	Так, у большинства клиентов цели какие?
317000	318000	Алло, слышно меня?
318000	319000	Да, раз-два-три.
319000	321000	Да, слышно, да?
321000	322000	Да.
322000	324000	Какие цели у большинства клиентов?
324000	326000	Ну, ко мне приходится здоровье.
326000	329000	То есть, ко мне приходят те, кто не…
329000	332000	Кому нельзя заниматься обычным бизнесом.
332000	335000	Ну, то есть, либо они заполнили опытным путем,
335000	337000	что они занимались, и им стало хуже.
337000	339000	Ну, да, там спина стала болеть,
339000	344000	или там, если это девушки, то там есть проблемы с органами внутренними,
344000	346000	что как динагрузки не подходят.
346000	347000	Угу.
347000	348000	А вот.
348000	350000	То есть, приходят в поисках того,
350000	354000	чтобы именно безопасные упражнения были для здоровья
354000	356000	и улучшить самочувствие.
356000	358000	Угу, угу.
